Gene,p_value,odds_ratio,n_strong_present,n_weak_present,p_adj,Direction,Category
group_3286,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3285,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3252,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
ppc_2,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_2874,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_2824,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_2721,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_2667,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_2484,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_2439,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_2310,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_2261,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_2252,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_2057,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_2040,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_1894,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
ywnA,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_1853,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_1769,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_1719,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_1654,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_1644,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_1598,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_1450,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_1327,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_1277,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_1191,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_1127,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_973,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_815,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
gcvA_4,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_610,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_359,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_18,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3531,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3467,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3413,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
dnaC~~~dnaC_2,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3360,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3353,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3344,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
dnaB_2~~~dnaB_1~~~dnaC_2,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
rcsC_3~~~rcsC_8,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
smf1_1~~~smf1_2,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3320,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3308,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3292,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3290,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
rcsC_2~~~rcsC_7,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3182,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
mrkD,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3143,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3132,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
lexA_4,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
ephA_1,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_2961,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_2469,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_2350,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_2190,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
pdeR,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_1898,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_1828,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_1516,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
nreC,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
rcsB_1,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_412,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_393,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
htrE_1,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_4332,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_4331,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_4330,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
