Gene,p_value,odds_ratio,n_SixtyLake,n_ConnessPond,p_adj,Direction
group_3744,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3743,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3742,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
cheB_5,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
actP_2,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3741,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3738,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3736,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3735,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3731,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
nhaK_1,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3729,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3722,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3721,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3720,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
rcsC_30,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3718,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3716,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3715,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3714,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3713,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3712,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3711,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3708,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3707,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3706,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3593,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3332,0.009049773755656115,Inf,6,0,0.44163070633658924,Enriched in Sixty Lake
group_3324,0.009049773755656115,Inf,6,0,0.44163070633658924,Enriched in Sixty Lake
group_3316,0.009049773755656115,Inf,6,0,0.44163070633658924,Enriched in Sixty Lake
group_3272,0.009049773755656115,Inf,6,0,0.44163070633658924,Enriched in Sixty Lake
group_3124,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3119,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3063,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3041,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_3034,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
dmlR_20,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2957,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
fbp_2~~~fbp_1,0.009049773755656115,Inf,6,0,0.44163070633658924,Enriched in Sixty Lake
group_2891,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2881,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2872,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2867,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2860,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2847,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2845,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2842,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2837,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2831,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2811,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2797,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2796,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2758,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2747,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2729,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2711,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2698,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2689,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2653,0.009049773755656115,Inf,6,0,0.44163070633658924,Enriched in Sixty Lake
group_2632,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2619,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2608,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2601,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2600,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2599,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2598,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2573,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2572,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2560,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2559,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2542,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2535,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2534,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2533,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2518,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2517,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2516,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2515,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2506,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2505,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2492,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2491,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2475,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2451,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2450,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2437,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2413,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2385,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2384,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2362,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2361,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
ybcO,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2354,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2345,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2339,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2338,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2329,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2328,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2317,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2316,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2298,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2291,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2290,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2289,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2284,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2275,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2274,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2265,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2245,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2231,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2230,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
group_2218,0.029411764705882373,0,0,5,0.44163070633658924,Enriched in Conness Pond
