Gene,Freq,Category,IsNamed,InSixtyLake,InConnessPond,PondPattern
qorA_4,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3798,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3797,18,Core,FALSE,TRUE,TRUE,Both ponds
surE,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3795,18,Core,FALSE,TRUE,TRUE,Both ponds
pcm,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3793,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3791,18,Core,FALSE,TRUE,TRUE,Both ponds
slyB,18,Core,TRUE,TRUE,TRUE,Both ponds
pyrG_2,18,Core,TRUE,TRUE,TRUE,Both ponds
lig,18,Core,TRUE,TRUE,TRUE,Both ponds
mdtA_4,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3788,18,Core,FALSE,TRUE,TRUE,Both ponds
ispU,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3787,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3782,18,Core,FALSE,TRUE,TRUE,Both ponds
dmlR_24,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3779,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3778,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3777,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3776,18,Core,FALSE,TRUE,TRUE,Both ponds
frmA,18,Core,TRUE,TRUE,TRUE,Both ponds
bamA_2,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3771,18,Core,FALSE,TRUE,TRUE,Both ponds
hisP_3,18,Core,TRUE,TRUE,TRUE,Both ponds
ispF,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3770,18,Core,FALSE,TRUE,TRUE,Both ponds
quiP_2,18,Core,TRUE,TRUE,TRUE,Both ponds
pcaR,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3769,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3768,18,Core,FALSE,TRUE,TRUE,Both ponds
lptB_5,18,Core,TRUE,TRUE,TRUE,Both ponds
yeiG,18,Core,TRUE,TRUE,TRUE,Both ponds
kdsA,18,Core,TRUE,TRUE,TRUE,Both ponds
dbpA_2,18,Core,TRUE,TRUE,TRUE,Both ponds
plsB,18,Core,TRUE,TRUE,TRUE,Both ponds
braC_2,18,Core,TRUE,TRUE,TRUE,Both ponds
pcaK_2,18,Core,TRUE,TRUE,TRUE,Both ponds
ompA,18,Core,TRUE,TRUE,TRUE,Both ponds
rpoS,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3762,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3760,18,Core,FALSE,TRUE,TRUE,Both ponds
livH_5,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3759,18,Core,FALSE,TRUE,TRUE,Both ponds
livF_7,18,Core,TRUE,TRUE,TRUE,Both ponds
frr,18,Core,TRUE,TRUE,TRUE,Both ponds
lpxB,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3757,18,Core,FALSE,TRUE,TRUE,Both ponds
catI,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3756,18,Core,FALSE,TRUE,TRUE,Both ponds
rnhB,18,Core,TRUE,TRUE,TRUE,Both ponds
pcaH,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3755,18,Core,FALSE,TRUE,TRUE,Both ponds
yffB,18,Core,TRUE,TRUE,TRUE,Both ponds
yfeW,18,Core,TRUE,TRUE,TRUE,Both ponds
eno,18,Core,TRUE,TRUE,TRUE,Both ponds
lpxA,18,Core,TRUE,TRUE,TRUE,Both ponds
glnD,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3753,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3751,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3750,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3749,18,Core,FALSE,TRUE,TRUE,Both ponds
kgtP_2,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3748,18,Core,FALSE,TRUE,TRUE,Both ponds
catJ,18,Core,TRUE,TRUE,TRUE,Both ponds
dapE,18,Core,TRUE,TRUE,TRUE,Both ponds
