Gene,p_value,odds_ratio,n_strong_present,n_weak_present,p_adj,Direction,Category
group_3735,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3731,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
nhaK_1,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3729,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3722,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3721,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3720,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
rcsC_30,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3718,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3716,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3715,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3714,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3713,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3712,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3711,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3708,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3707,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3706,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3593,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3124,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3119,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3063,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3041,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_3034,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
dmlR_20,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2957,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2891,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2881,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2872,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2867,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2860,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2847,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2845,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2842,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2837,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2831,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2811,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2797,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2796,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2758,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2747,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2729,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2711,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2698,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2689,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
