time	Isolate	OD	Isolate2
5.5	638A1	0.698	638A1.2
6	638A1	0.925	638A1.2
6.5	638A1	1.184	638A1.2
7	638A1	1.339	638A1.2
7.5	638A1	1.452	638A1.2
8	638A1	1.549	638A1.2
8.5	638A1	1.646	638A1.2
9	638A1	1.725	638A1.2
9.5	638A1	1.79	638A1.2
10	638A1	1.802	638A1.2
10.5	638A1	1.885	638A1.2
11	638A1	1.991	638A1.2
11.5	638A1	1.947	638A1.2
12	638A1	2.011	638A1.2
12.5	638A1	2.083	638A1.2
13	638A1	2.133	638A1.2
13.5	638A1	2.202	638A1.2
14	638A1	2.243	638A1.2
14.5	638A1	2.283	638A1.2
15	638A1	2.35	638A1.2
15.5	638A1	2.313	638A1.2
16	638A1	2.358	638A1.2
16.5	638A1	2.343	638A1.2
17	638A1	2.301	638A1.2
17.5	638A1	2.338	638A1.2
18	638A1	2.402	638A1.2
18.5	638A1	2.388	638A1.2
19	638A1	2.461	638A1.2
19.5	638A1	2.483	638A1.2
20	638A1	2.451	638A1.2
20.5	638A1	2.534	638A1.2
21	638A1	2.501	638A1.2
21.5	638A1	2.51	638A1.2
22	638A1	2.575	638A1.2
22.5	638A1	2.504	638A1.2
23	638A1	2.535	638A1.2
23.5	638A1	2.527	638A1.2
24	638A1	2.531	638A1.2
24.5	638A1	2.563	638A1.2
25	638A1	2.53	638A1.2
25.5	638A1	2.473	638A1.2
26	638A1	2.553	638A1.2
26.5	638A1	2.578	638A1.2
27	638A1	2.543	638A1.2
27.5	638A1	2.563	638A1.2
28	638A1	2.618	638A1.2
28.5	638A1	2.54	638A1.2
29	638A1	2.532	638A1.2
29.5	638A1	2.545	638A1.2
30	638A1	2.547	638A1.2
30.5	638A1	2.537	638A1.2
31	638A1	2.512	638A1.2
31.5	638A1	2.5	638A1.2
32	638A1	2.486	638A1.2
32.5	638A1	2.498	638A1.2
33	638A1	2.495	638A1.2
33.5	638A1	2.45	638A1.2
34	638A1	2.516	638A1.2
34.5	638A1	2.416	638A1.2
35	638A1	2.494	638A1.2
35.5	638A1	2.385	638A1.2
36	638A1	2.39	638A1.2
0.5	643E	0.088	643E.2
1	643E	0.086	643E.2
1.5	643E	0.086	643E.2
2	643E	0.086	643E.2
2.5	643E	0.087	643E.2
3	643E	0.087	643E.2
3.5	643E	0.098	643E.2
4	643E	0.086	643E.2
4.5	643E	0.089	643E.2
5	643E	0.122	643E.2
5.5	643E	0.139	643E.2
6	643E	0.155	643E.2
6.5	643E	0.15	643E.2
7	643E	0.148	643E.2
7.5	643E	0.148	643E.2
8	643E	0.171	643E.2
8.5	643E	0.225	643E.2
9	643E	0.295	643E.2
9.5	643E	0.389	643E.2
10	643E	0.485	643E.2
10.5	643E	0.599	643E.2
11	643E	0.74	643E.2
11.5	643E	0.874	643E.2
12	643E	1.011	643E.2
12.5	643E	1.134	643E.2
13	643E	1.241	643E.2
13.5	643E	1.412	643E.2
14	643E	1.544	643E.2
14.5	643E	1.663	643E.2
15	643E	1.752	643E.2
15.5	643E	1.834	643E.2
16	643E	1.907	643E.2
16.5	643E	1.938	643E.2
17	643E	1.996	643E.2
17.5	643E	2.061	643E.2
18	643E	2.08	643E.2
18.5	643E	2.131	643E.2
19	643E	2.162	643E.2
19.5	643E	2.204	643E.2
20	643E	2.232	643E.2
20.5	643E	2.271	643E.2
21	643E	2.307	643E.2
21.5	643E	2.348	643E.2
22	643E	2.382	643E.2
22.5	643E	2.383	643E.2
23	643E	2.375	643E.2
23.5	643E	2.415	643E.2
24	643E	2.459	643E.2
24.5	643E	2.439	643E.2
25	643E	2.463	643E.2
25.5	643E	2.443	643E.2
26	643E	2.446	643E.2
26.5	643E	2.483	643E.2
27	643E	2.453	643E.2
27.5	643E	2.473	643E.2
28	643E	2.473	643E.2
28.5	643E	2.481	643E.2
29	643E	2.427	643E.2
29.5	643E	2.441	643E.2
30	643E	2.432	643E.2
30.5	643E	2.407	643E.2
31	643E	2.421	643E.2
31.5	643E	2.413	643E.2
32	643E	2.4	643E.2
32.5	643E	2.389	643E.2
33	643E	2.361	643E.2
33.5	643E	2.407	643E.2
34	643E	2.387	643E.2
34.5	643E	2.327	643E.2
35	643E	2.363	643E.2
35.5	643E	2.349	643E.2
36	643E	2.326	643E.2
0.5	649D1	0.089	649D1.2
1	649D1	0.087	649D1.2
1.5	649D1	0.085	649D1.2
2	649D1	0.087	649D1.2
2.5	649D1	0.088	649D1.2
3	649D1	0.104	649D1.2
3.5	649D1	0.121	649D1.2
4	649D1	0.137	649D1.2
4.5	649D1	0.152	649D1.2
5	649D1	0.176	649D1.2
5.5	649D1	0.2	649D1.2
6	649D1	0.224	649D1.2
6.5	649D1	0.254	649D1.2
7	649D1	0.302	649D1.2
7.5	649D1	0.37	649D1.2
8	649D1	0.46	649D1.2
8.5	649D1	0.549	649D1.2
9	649D1	0.682	649D1.2
9.5	649D1	0.881	649D1.2
10	649D1	1.004	649D1.2
10.5	649D1	1.129	649D1.2
11	649D1	1.282	649D1.2
11.5	649D1	1.422	649D1.2
12	649D1	1.523	649D1.2
12.5	649D1	1.657	649D1.2
13	649D1	1.759	649D1.2
13.5	649D1	1.843	649D1.2
14	649D1	1.891	649D1.2
14.5	649D1	1.926	649D1.2
15	649D1	1.948	649D1.2
15.5	649D1	1.966	649D1.2
16	649D1	2.001	649D1.2
16.5	649D1	1.968	649D1.2
17	649D1	1.968	649D1.2
17.5	649D1	1.967	649D1.2
18	649D1	1.943	649D1.2
18.5	649D1	1.998	649D1.2
19	649D1	2.038	649D1.2
19.5	649D1	2.051	649D1.2
20	649D1	2.078	649D1.2
20.5	649D1	2.068	649D1.2
21	649D1	2.132	649D1.2
21.5	649D1	2.144	649D1.2
22	649D1	2.181	649D1.2
22.5	649D1	2.138	649D1.2
23	649D1	2.174	649D1.2
23.5	649D1	2.195	649D1.2
24	649D1	2.232	649D1.2
24.5	649D1	2.224	649D1.2
25	649D1	2.199	649D1.2
25.5	649D1	2.218	649D1.2
26	649D1	2.238	649D1.2
26.5	649D1	2.256	649D1.2
27	649D1	2.268	649D1.2
27.5	649D1	2.239	649D1.2
28	649D1	2.307	649D1.2
28.5	649D1	2.254	649D1.2
29	649D1	2.295	649D1.2
29.5	649D1	2.33	649D1.2
30	649D1	2.319	649D1.2
30.5	649D1	2.33	649D1.2
31	649D1	2.301	649D1.2
31.5	649D1	2.36	649D1.2
32	649D1	2.301	649D1.2
32.5	649D1	2.332	649D1.2
33	649D1	2.317	649D1.2
33.5	649D1	2.293	649D1.2
34	649D1	2.325	649D1.2
34.5	649D1	2.276	649D1.2
35	649D1	2.321	649D1.2
35.5	649D1	2.313	649D1.2
36	649D1	2.363	649D1.2
0.5	628C	0.087	628C.3
1	628C	0.087	628C.3
1.5	628C	0.084	628C.3
2	628C	0.087	628C.3
2.5	628C	0.087	628C.3
3	628C	0.088	628C.3
3.5	628C	0.088	628C.3
4	628C	0.086	628C.3
4.5	628C	0.088	628C.3
5	628C	0.101	628C.3
5.5	628C	0.112	628C.3
6	628C	0.118	628C.3
6.5	628C	0.124	628C.3
7	628C	0.123	628C.3
7.5	628C	0.124	628C.3
8	628C	0.106	628C.3
8.5	628C	0.091	628C.3
9	628C	0.094	628C.3
9.5	628C	0.1	628C.3
10	628C	0.108	628C.3
10.5	628C	0.133	628C.3
11	628C	0.163	628C.3
11.5	628C	0.207	628C.3
12	628C	0.288	628C.3
12.5	628C	0.394	628C.3
13	628C	0.503	628C.3
13.5	628C	0.601	628C.3
14	628C	0.689	628C.3
14.5	628C	0.873	628C.3
15	628C	0.99	628C.3
15.5	628C	1.097	628C.3
16	628C	1.197	628C.3
16.5	628C	1.284	628C.3
17	628C	1.355	628C.3
17.5	628C	1.421	628C.3
18	628C	1.472	628C.3
18.5	628C	1.536	628C.3
19	628C	1.579	628C.3
19.5	628C	1.625	628C.3
20	628C	1.646	628C.3
20.5	628C	1.759	628C.3
21	628C	1.742	628C.3
21.5	628C	1.814	628C.3
22	628C	1.945	628C.3
22.5	628C	1.827	628C.3
23	628C	1.895	628C.3
23.5	628C	1.964	628C.3
24	628C	1.939	628C.3
24.5	628C	1.934	628C.3
25	628C	1.979	628C.3
25.5	628C	2.203	628C.3
