Sp1	Sp2	ANI	Lake1	Lake2	Comparison
CP3F2	CP15C	98.8102	Conness Pond	Conness Pond	Same Pond
642A	CP19F2	98.8114	Sixty Lake	Conness Pond	Different Pond
CP20G1	628C	98.8117	Conness Pond	Sixty Lake	Different Pond
CP3F2	CP13A	98.8125	Conness Pond	Conness Pond	Same Pond
CP13A	CP12E	98.8127	Conness Pond	Conness Pond	Same Pond
CP15C	CP10A	98.8134	Conness Pond	Conness Pond	Same Pond
642A	CP2A	98.8138	Sixty Lake	Conness Pond	Different Pond
CP2A	628C	98.8167	Conness Pond	Sixty Lake	Different Pond
CP15C	CP2A	98.8167	Conness Pond	Conness Pond	Same Pond
632B	CP10A	98.8173	Sixty Lake	Conness Pond	Different Pond
CP3F2	628C	98.8175	Conness Pond	Sixty Lake	Different Pond
638A1	CP12E	98.819	Sixty Lake	Conness Pond	Different Pond
CP13A	CP3F2	98.8191	Conness Pond	Conness Pond	Same Pond
CP13A	CP20G1	98.8199	Conness Pond	Conness Pond	Same Pond
CP15C	CP19F2	98.821	Conness Pond	Conness Pond	Same Pond
632B	CP19F2	98.8213	Sixty Lake	Conness Pond	Different Pond
628C	CP10A	98.8215	Sixty Lake	Conness Pond	Different Pond
CP13A	CP10A	98.8215	Conness Pond	Conness Pond	Same Pond
CP3F2	642A	98.8218	Conness Pond	Sixty Lake	Different Pond
CP10A	CP17D	98.8225	Conness Pond	Conness Pond	Same Pond
CP2A	642A	98.8229	Conness Pond	Sixty Lake	Different Pond
642A	CP20G1	98.8239	Sixty Lake	Conness Pond	Different Pond
CP13A	CP19F2	98.824	Conness Pond	Conness Pond	Same Pond
CP12E	632B	98.8245	Conness Pond	Sixty Lake	Different Pond
CP10A	CP15C	98.8255	Conness Pond	Conness Pond	Same Pond
CP17D	CP12E	98.8263	Conness Pond	Conness Pond	Same Pond
CP10A	632B	98.829	Conness Pond	Sixty Lake	Different Pond
CP13A	CP2A	98.8294	Conness Pond	Conness Pond	Same Pond
CP10A	628C	98.8304	Conness Pond	Sixty Lake	Different Pond
628C	CP3F2	98.8312	Sixty Lake	Conness Pond	Different Pond
632B	CP12E	98.8323	Sixty Lake	Conness Pond	Different Pond
CP15C	CP3F2	98.8342	Conness Pond	Conness Pond	Same Pond
CP20G1	CP6A	98.8343	Conness Pond	Conness Pond	Same Pond
642A	CP3F2	98.8345	Sixty Lake	Conness Pond	Different Pond
CP10A	642A	98.8365	Conness Pond	Sixty Lake	Different Pond
CP17D	CP3F2	98.8373	Conness Pond	Conness Pond	Same Pond
CP10A	CP13A	98.8374	Conness Pond	Conness Pond	Same Pond
