Gene	KO
potA_3	K02052
btuD_11	K02052
ydcV_2	K02053
phnV	K02053
group_1059	K02053
group_1023	K02053
cysW_1	K02053
group_473	K02054
potB	K02054
cysW_2	K02054
group_672	K02055
group_527	K02055
group_688	K02055
group_718	K02055
group_634	K02055
mlaF	K02065
mkl	K02065
mlaE	K02066
group_3829	K02066
mlaD	K02067
group_3821	K02067
fetA	K02068
fetB	K02069
metN_1	K02071
metN_2	K02071
metN_3	K02071
metI	K02072
metP_1	K02072
metP_2	K02072
metP_3	K02072
metQ_1	K02073
group_3451	K02073
metQ_4	K02073
metQ_2	K02073
metQ_3	K02073
scaC	K02074
mntC	K02075
group_926	K02077
acpP_1	K02078
acpP_2	K02078
acpP_3	K02078
atoE	K02106
atpB	K02108
atpF	K02109
atpH_2	K02110
atpA	K02111
atpD	K02112
atpH_1	K02113
atpC	K02114
atpG	K02115
group_1979	K02116
accB	K02160
betI_2	K02167
betI_3	K02167
betI_4	K02167
caiT	K02168
betT2	K02168
bioC	K02169
bioH	K02170
cbiG	K02189
group_2648	K02192
ccmA	K02193
ccmB	K02194
ccmC	K02195
group_2781	K02196
ccmE	K02197
ccmF	K02198
dsbE	K02199
ccmH	K02200
group_519	K02200
group_1409	K02203
thrB	K02204
group_1471	K02221
cbiA	K02224
hisC_2	K02225
cobC	K02226
cobD	K02227
group_1134	K02228
group_3638	K02229
cobN	K02230
cobP	K02231
cobQ	K02232
cobS	K02233
group_645	K02234
group_2222	K02237
comEC	K02238
cyoE	K02257
ctaB	K02257
ctaG	K02258
ctaA	K02259
ctaD	K02274
group_3847	K02275
ctaE	K02276
group_3633	K02279
group_3693	K02280
sctC_4	K02280
group_3463	K02282
group_3677	K02283
cyoA	K02297
cyoB	K02298
cyoC	K02299
cyoD	K02300
cysG_2	K02302
sumT	K02303
dnaA	K02313
dnaB_1	K02314
dnaB_2	K02314
dnaB_2~~~dnaB_1~~~dnaC_2	K02314
dnaC_1	K02315
dnaC~~~dnaC_2	K02315
dnaG	K02316
polA	K02335
group_821	K02335
polB	K02336
dnaE	K02337
dnaN	K02338
holC	K02339
holA	K02340
group_746	K02341
polC	K02342
dinG_1	K02342
dnaQ	K02342
ruvB_1	K02343
dinB	K02346
elaA	K02348
fusA	K02355
efp	K02356
tsf	K02357
tufA	K02358
entD	K02362
fabZ	K02372
fdhD	K02379
group_1247	K02386
flgB	K02387
flgC	K02388
flgD	K02389
flgE	K02390
flgF	K02391
flgG	K02392
flgH	K02393
flgI	K02394
group_454	K02395
group_142	K02396
group_265	K02397
group_2258	K02398
flhA	K02400
flhB_1	K02401
flhF	K02404
fliA	K02405
fliC	K02406
fliD	K02407
fliE	K02408
fliF	K02409
fliG	K02410
group_1112	K02411
fliI	K02412
fliJ	K02413
group_382	K02414
group_1975	K02415
group_1684	K02415
fliM	K02416
fliN	K02417
group_1876	K02418
fliP_1	K02419
fliQ	K02420
fliR	K02421
fliS	K02422
fliY_1	K02424
fliY_5	K02424
csdE	K02426
rlmE	K02427
fucP	K02429
cnbH	K02433
aam_1	K02433
gatA~~~gatA_1	K02433
gatB	K02434
gatC	K02435
gcvH_1	K02437
gcvH_2	K02437
glpE_1	K02439
glpF	K02440
glpG	K02441
glpR	K02444
glpT	K02445
group_220	K02454
xcpT	K02456
gyrA	K02469
gyrB	K02470
bacA	K02471
sasA_10	K02482
sasA_11	K02482
ompR_1	K02483
qseB_4	K02483
qseB_5	K02483
ompR_2	K02483
phoP_1	K02483
cusR	K02483
ompR_4	K02483
