Gene	KO
group_656	N/A
group_1527	N/A
group_2164	N/A
group_2128	N/A
group_2717	N/A
group_2590	N/A
group_2883	N/A
group_2190	N/A
group_1070	N/A
nimR_4	N/A
nepI_3	N/A
rhaS_7	N/A
group_1670	N/A
group_853	N/A
group_434	N/A
group_1914	N/A
group_1042	N/A
trmR	N/A
leuE	N/A
group_2023	N/A
group_1121	N/A
group_1319	N/A
group_1124	N/A
group_725	N/A
group_2441	N/A
hprA	N/A
rutD_1	N/A
yqaA	N/A
group_1860	N/A
iolS	N/A
dmlR_14	N/A
group_1528	N/A
group_644	N/A
group_2723	N/A
group_1956	N/A
oprM_3	N/A
group_1804	N/A
eamB_1	N/A
yveA	N/A
group_135	N/A
rutB_1	N/A
group_508	N/A
rclC	N/A
group_2399	N/A
group_1820	N/A
group_1257	N/A
group_1016	N/A
group_2165	N/A
group_2305	N/A
group_1425	N/A
group_2663	N/A
group_2497	N/A
group_2147	N/A
group_1228	N/A
ettA_2	N/A
dhmA2_1	N/A
group_1813	N/A
group_2334	N/A
group_2155	N/A
group_2605	N/A
group_2393	N/A
group_2751	N/A
group_713	N/A
group_1553	N/A
group_2116	N/A
smf1_2	N/A
group_665	N/A
cmpR_4	N/A
eamA_4	N/A
yajO_2	N/A
dmlR_15	N/A
nicT_3	N/A
group_532	N/A
group_929	N/A
group_772	N/A
group_1695	N/A
group_1301	N/A
group_366	N/A
rcsC_18	N/A
rcsC_19	N/A
cpdR	N/A
rcsC_20	N/A
bepA_2	N/A
group_1110	N/A
mmgC_4	N/A
caiD	N/A
group_252	N/A
group_1022	N/A
group_856	N/A
group_666	N/A
group_903	N/A
alkJ_1	N/A
kduD	N/A
exuT_3	N/A
nphR	N/A
group_1562	N/A
group_2042	N/A
group_2148	N/A
dmlR_16	N/A
sotB_2	N/A
group_680	N/A
yhhS_2	N/A
ybiT	N/A
group_443	N/A
group_1032	N/A
group_2035	N/A
group_1519	N/A
group_698	N/A
group_878	N/A
mdrP_1	N/A
pgrR_4	N/A
dmlR_17	N/A
cya	N/A
tdh_2	N/A
group_341	N/A
norG_3	N/A
rep_2	N/A
group_2429	N/A
puuB_5	N/A
group_1079	N/A
steT_2	N/A
inh	N/A
group_342	N/A
group_2430	N/A
group_2803	N/A
fan1	N/A
sasA_12	N/A
regX3	N/A
dipZ	N/A
group_1915	N/A
group_802	N/A
group_354	N/A
group_1563	N/A
group_2840	N/A
pgrR_5	N/A
yhdN	N/A
cntI	N/A
rcsC_21	N/A
rcsC_22	N/A
group_1346	N/A
fabG_4	N/A
group_1294	N/A
menE	N/A
group_1287	N/A
group_870	N/A
yabJ_2	N/A
group_1369	N/A
group_2821	N/A
group_820	N/A
dmlR_18	N/A
rcsC_23	N/A
group_1308	N/A
group_1978	N/A
group_1335	N/A
group_811	N/A
group_2003	N/A
group_2718	N/A
dmlR_19	N/A
mrpX	N/A
yedY1	N/A
walR_2	N/A
group_2149	N/A
group_2704	N/A
pfyP_2	N/A
group_1805	N/A
group_1677	N/A
group_2790	N/A
group_1386	N/A
group_1263	N/A
group_2322	N/A
group_122	N/A
group_2498	N/A
group_1209	N/A
group_2523	N/A
cdhR_5	N/A
tas	N/A
group_551	N/A
group_17	N/A
group_2562	N/A
group_1789	N/A
group_1729	N/A
group_2378	N/A
group_2783	N/A
group_2682	N/A
group_544	N/A
group_2772	N/A
group_2482	N/A
yedK_2	N/A
loiP	N/A
group_2324	N/A
group_2257	N/A
yqjZ	N/A
pyrG_1	N/A
argP_4	N/A
group_651	N/A
group_1536	N/A
group_812	N/A
mdrP_2	N/A
group_7	N/A
group_2367	N/A
group_2251	N/A
group_2613	N/A
ycaD_2	N/A
ycgR	N/A
group_1777	N/A
group_1093	N/A
group_1916	N/A
group_2100	N/A
group_1861	N/A
nadE_2	N/A
FCS1	N/A
group_1932	N/A
purN_3	N/A
group_2836	N/A
eamB_2	N/A
group_120	N/A
group_714	N/A
norG_4	N/A
group_907	N/A
group_528	N/A
group_1402	N/A
group_781	N/A
malT_2	N/A
group_2524	N/A
group_2419	N/A
mdrP_3	N/A
group_2306	N/A
group_1485	N/A
puuA_4	N/A
yhaZ	N/A
group_181	N/A
gltR_5	N/A
alkJ_2	N/A
nanT_2	N/A
hrp1	N/A
cobB	N/A
group_2237	N/A
group_1957	N/A
group_1080	N/A
group_618	N/A
rhtB_6	N/A
phzF	N/A
group_1235	N/A
group_1145	N/A
sdhL	N/A
group_2166	N/A
group_2724	N/A
group_2763	N/A
ydiK_1	N/A
sasA_13	N/A
group_2259	N/A
group_620	N/A
group_271	N/A
group_1397	N/A
group_989	N/A
ybjJ	N/A
fecI_5	N/A
group_190	N/A
cdhR_8	N/A
group_850	N/A
group_1481	N/A
group_1790	N/A
group_1998	N/A
pgrR_7	N/A
group_1882	N/A
resA_2	N/A
group_1958	N/A
group_1302	N/A
yohC	N/A
trpD_2	N/A
group_1933	N/A
group_1159	N/A
group_2575	N/A
group_2705	N/A
group_2784	N/A
group_1628	N/A
group_574	N/A
group_56	N/A
group_722	N/A
group_1862	N/A
yscL	N/A
group_1418	N/A
group_1891	N/A
group_2549	N/A
sctC_3	N/A
group_1115	N/A
group_2209	N/A
group_2137	N/A
group_863	N/A
group_2814	N/A
group_33	N/A
group_1814	N/A
group_1140	N/A
group_367	N/A
group_860	N/A
sutR_1	N/A
group_831	N/A
group_2036	N/A
yyaP	N/A
ttgF	N/A
marR	N/A
group_1338	N/A
pcpR_3	N/A
cueR_1	N/A
group_2117	N/A
sasA_14	N/A
group_1156	N/A
group_2368	N/A
group_1686	N/A
sutR_2	N/A
group_2431	N/A
group_1901	N/A
yabJ_3	N/A
dmlR_21	N/A
nimR_5	N/A
group_2118	N/A
group_2138	N/A
ntaA	N/A
pgrR_8	N/A
group_1579	N/A
cdhR_9	N/A
hdfR_10	N/A
group_2725	N/A
dmlR_22	N/A
ghrA_2	N/A
ydbM	N/A
moxC	N/A
glpE_3	N/A
gltR_6	N/A
mtnB	N/A
sasA_15	N/A
hisC_5	N/A
rubA2	N/A
group_937	N/A
rhtB_7	N/A
group_2325	N/A
group_2269	N/A
group_328	N/A
hcaB_2	N/A
group_1902	N/A
eamB_3	N/A
rhaR_3	N/A
group_603	N/A
group_1925	N/A
group_654	N/A
group_1768	N/A
group_1737	N/A
group_2238	N/A
group_2044	N/A
group_1564	N/A
group_2379	N/A
group_2792	N/A
clpP_2	N/A
group_2624	N/A
group_1179	N/A
ulaR	N/A
group_557	N/A
nudK	N/A
rcsC_26	N/A
group_2563	N/A
oprD_4	N/A
group_71	N/A
group_1403	N/A
group_2287	N/A
group_1216	N/A
hcaR_1	N/A
golD_2	N/A
lsrR	N/A
group_273	N/A
group_2539	N/A
yabJ_4	N/A
xynR	N/A
rcsC_27	N/A
group_369	N/A
norR_3	N/A
group_3717	N/A
group_3779	N/A
group_3728	N/A
group_3759	N/A
dmlR_23	N/A
group_3750	N/A
lig	N/A
group_3756	N/A
group_3734	N/A
ompA	N/A
group_3778	N/A
group_3788	N/A
yfeW	N/A
group_3723	N/A
group_3710	N/A
dmlR_24	N/A
group_3755	N/A
group_3757	N/A
group_3737	N/A
group_3783	N/A
group_3767	N/A
group_3703	N/A
group_3751	N/A
group_3760	N/A
group_3705	N/A
group_3791	N/A
sotB_4	N/A
sufS_2	N/A
group_3730	N/A
group_3753	N/A
group_3719	N/A
group_1486	N/A
yihG_2	N/A
group_2191	N/A
group_1125	N/A
group_1194	N/A
group_2664	N/A
group_795	N/A
group_1934	N/A
group_1087	N/A
group_1708	N/A
bepA_3	N/A
dctD_3	N/A
group_1585	N/A
group_1447	N/A
group_2665	N/A
group_2004	N/A
group_2080	N/A
group_1549	N/A
group_994	N/A
yddE	N/A
group_1520	N/A
group_1036	N/A
group_1498	N/A
group_2223	N/A
oprD_5	N/A
group_1691	N/A
group_2499	N/A
proP_5	N/A
group_218	N/A
group_533	N/A
group_1617	N/A
group_1989	N/A
group_1149	N/A
group_446	N/A
group_1221	N/A
group_54	N/A
yebT	N/A
group_3599	N/A
yibN	N/A
group_3477	N/A
group_3680	N/A
group_3645	N/A
group_3554	N/A
group_3464	N/A
group_3564	N/A
group_3566	N/A
group_3611	N/A
group_3615	N/A
group_3561	N/A
oprD_6	N/A
group_3525	N/A
argD_3	N/A
hdfR_11	N/A
ydeP	N/A
group_3489	N/A
group_3473	N/A
group_3562	N/A
group_3603	N/A
group_3665	N/A
lpxT	N/A
bluF	N/A
group_3502	N/A
menI	N/A
nicP_5	N/A
soxC_2	N/A
soxC_3	N/A
group_3605	N/A
group_3508	N/A
group_3478	N/A
group_263	N/A
group_604	N/A
sfnC_2	N/A
group_1092	N/A
group_1629	N/A
group_1295	N/A
sasA_16	N/A
group_1357	N/A
group_1791	N/A
group_111	N/A
group_1088	N/A
kdgK_2	N/A
group_880	N/A
group_1680	N/A
group_1696	N/A
group_285	N/A
sadH	N/A
group_132	N/A
group_2239	N/A
pknD_3	N/A
prpC_3	N/A
norR_4	N/A
group_1017	N/A
group_1697	N/A
group_675	N/A
group_1693	N/A
group_1210	N/A
group_2192	N/A
group_1347	N/A
group_2420	N/A
group_338	N/A
group_1550	N/A
nicP_6	N/A
rbsR_2	N/A
group_2210	N/A
group_2178	N/A
group_2167	N/A
group_2443	N/A
group_2444	N/A
rhaS_9	N/A
group_437	N/A
oprM_5	N/A
ygfF	N/A
group_1792	N/A
norG_5	N/A
group_355	N/A
group_2564	N/A
group_2822	N/A
group_541	N/A
group_969	N/A
mdtD_3	N/A
pcpR_4	N/A
group_1303	N/A
group_1443	N/A
group_1051	N/A
group_1389	N/A
crt_3	N/A
group_534	N/A
gsiD	N/A
dddP	N/A
group_918	N/A
hcaR_2	N/A
group_475	N/A
betA_2	N/A
dauR_2	N/A
yabJ_5	N/A
group_2666	N/A
group_3585	N/A
group_3600	N/A
group_3560	N/A
group_3565	N/A
group_3491	N/A
group_3455	N/A
group_3496	N/A
group_3675	N/A
group_3487	N/A
ydgA	N/A
group_3601	N/A
oprM_6	N/A
aaeA_2	N/A
group_3527	N/A
aaeB_3	N/A
group_3582	N/A
group_3647	N/A
group_3664	N/A
group_3456	N/A
group_3656	N/A
mdtA_7	N/A
group_3511	N/A
ttgC_5	N/A
group_3606	N/A
tauD_2	N/A
group_2014	N/A
yeiR	N/A
group_1348	N/A
yciC	N/A
ccmM	N/A
group_1630	N/A
group_1071	N/A
group_2525	N/A
cadA_2	N/A
group_687	N/A
group_166	N/A
ynbC	N/A
group_1870	N/A
group_1404	N/A
rhtB_8	N/A
group_542	N/A
group_2119	N/A
srlR	N/A
group_2015	N/A
group_1229	N/A
group_2741	N/A
grsB	N/A
tycC_2	N/A
group_1288	N/A
nimR_6	N/A
mdtL	N/A
rhaS_10	N/A
hcaR_3	N/A
group_1959	N/A
group_368	N/A
group_871	N/A
group_2197	N/A
group_469	N/A
cseB	N/A
group_3820	N/A
group_3843	N/A
group_3823	N/A
group_3827	N/A
gcvA_11	N/A
group_3807	N/A
group_3801	N/A
trpI	N/A
yqjD_2	N/A
group_3800	N/A
group_3837	N/A
group_3841	N/A
group_3831	N/A
group_3816	N/A
yrdA_2	N/A
group_3838	N/A
group_3806	N/A
group_3802	N/A
group_3817	N/A
group_3809	N/A
pgrR_9	N/A
group_2884	N/A
group_545	N/A
group_192	N/A
group_1837	N/A
group_2198	N/A
group_2081	N/A
group_202	N/A
ppsC	N/A
group_1333	N/A
group_1043	N/A
phnR	N/A
group_799	N/A
group_2240	N/A
group_1586	N/A
sfnC_3	N/A
group_2101	N/A
sfnR_1	N/A
sfnC_4	N/A
nsaD	N/A
group_1172	N/A
lplT	N/A
group_558	N/A
group_514	N/A
group_1565	N/A
group_1320	N/A
group_1980	N/A
dmlR_26	N/A
group_1543	N/A
group_489	N/A
pepV	N/A
group_1105	N/A
catD_4	N/A
norG_6	N/A
linC	N/A
yfmJ	N/A
sasA_20	N/A
ydiK_2	N/A
group_1024	N/A
menH_4	N/A
group_1048	N/A
group_2168	N/A
group_833	N/A
group_3818	N/A
group_3842	N/A
group_3832	N/A
cc4	N/A
group_3815	N/A
group_3846	N/A
group_3849	N/A
ivy	N/A
group_3844	N/A
group_3822	N/A
group_3848	N/A
group_3835	N/A
group_3811	N/A
group_3813	N/A
group_3825	N/A
group_3814	N/A
group_3836	N/A
group_3810	N/A
gcvA_12	N/A
wecH	N/A
group_1926	N/A
group_1203	N/A
group_803	N/A
group_2626	N/A
group_2483	N/A
group_2270	N/A
group_2468	N/A
group_2056	N/A
group_2526	N/A
rihA	N/A
group_2673	N/A
group_2307	N/A
group_2271	N/A
group_2288	N/A
group_2139	N/A
group_505	N/A
group_2169	N/A
group_2592	N/A
group_1807	N/A
group_1635	N/A
group_2764	N/A
group_734	N/A
group_2170	N/A
group_887	N/A
group_1838	N/A
group_2016	N/A
group_1000	N/A
group_1173	N/A
group_2726	N/A
group_1927	N/A
group_2576	N/A
group_1935	N/A
group_1746	N/A
group_2369	N/A
group_2765	N/A
group_2241	N/A
group_2577	N/A
group_715	N/A
oprD_7	N/A
group_301	N/A
group_303	N/A
osmY_3	N/A
yiaD	N/A
group_380	N/A
group_182	N/A
group_221	N/A
nimR_7	N/A
group_758	N/A
group_1698	N/A
group_2295	N/A
group_2841	N/A
group_2540	N/A
group_818	N/A
group_1863	N/A
rhaR_4	N/A
group_1928	N/A
group_2028	N/A
group_1778	N/A
group_2578	N/A
group_2695	N/A
group_2753	N/A
iolW	N/A
murR	N/A
group_1779	N/A
group_2650	N/A
group_1903	N/A
hisC_6	N/A
group_904	N/A
yceI_2	N/A
group_655	N/A
group_1761	N/A
group_520	N/A
group_1718	N/A
dap	N/A
group_504	N/A
group_729	N/A
group_1309	N/A
group_1440	N/A
tri1	N/A
rbsK_3	N/A
tam_2	N/A
group_2453	N/A
group_2171	N/A
group_506	N/A
group_1747	N/A
group_3850	N/A
group_3851	N/A
group_3854	N/A
gltC_5	N/A
group_3853	N/A
group_3852	N/A
metZ_1	N/A
nicT_4	N/A
rssB_6	N/A
group_3549	N/A
group_3528	N/A
group_3552	N/A
virS	N/A
group_3505	N/A
group_3597	N/A
yofA_3	N/A
sfnR_2	N/A
group_995	N/A
group_32	N/A
cmpR_5	N/A
usg	N/A
gdhI_2	N/A
group_3855	N/A
group_3858	N/A
group_3861	N/A
group_3859	N/A
lgrD_3	N/A
group_3857	N/A
group_230	N/A
group_1411	N/A
group_1687	N/A
group_1864	N/A
sttH_2	N/A
group_804	N/A
group_183	N/A
group_635	N/A
fabG_7	N/A
group_1135	N/A
group_476	N/A
cueR_2	N/A
group_1699	N/A
group_2866	N/A
group_621	N/A
group_2651	N/A
group_8	N/A
group_105	N/A
group_1126	N/A
group_2308	N/A
group_1473	N/A
group_898	N/A
group_2179	N/A
group_2150	N/A
group_828	N/A
group_1700	N/A
group_241	N/A
group_2309	N/A
group_1822	N/A
group_2454	N/A
group_1945	N/A
group_459	N/A
group_1793	N/A
group_490	N/A
group_623	N/A
group_2804	N/A
group_2005	N/A
group_1738	N/A
group_659	N/A
group_2550	N/A
group_2785	N/A
group_195	N/A
group_2773	N/A
group_2045	N/A
group_2199	N/A
group_2863	N/A
group_1631	N/A
group_1748	N/A
group_2121	N/A
group_244	N/A
group_1853	N/A
group_2706	N/A
group_1610	N/A
group_2046	N/A
group_2774	N/A
group_1936	N/A
group_1966	N/A
group_762	N/A
group_1643	N/A
group_2421	N/A
group_2509	N/A
group_2260	N/A
group_1304	N/A
group_2083	N/A
group_2000	N/A
group_2224	N/A
group_412	N/A
group_2102	N/A
group_786	N/A
group_2252	N/A
group_1450	N/A
group_1327	N/A
group_2057	N/A
group_2037	N/A
group_2565	N/A
group_1769	N/A
group_1719	N/A
group_18	N/A
group_1277	N/A
group_1191	N/A
group_2261	N/A
group_2667	N/A
group_610	N/A
group_1644	N/A
group_2484	N/A
group_359	N/A
group_343	N/A
group_2180	N/A
group_563	N/A
group_2674	N/A
group_1781	N/A
group_2262	N/A
group_2017	N/A
group_1004	N/A
group_1116	N/A
group_1248	N/A
uspE_1	N/A
uspE_2	N/A
pat_1	N/A
group_2766	N/A
group_1808	N/A
group_646	N/A
group_322	N/A
group_187	N/A
group_143	N/A
group_373	N/A
group_307	N/A
group_2868	N/A
group_1231	N/A
group_1010	N/A
group_1398	N/A
group_2843	N/A
group_2683	N/A
group_1970	N/A
group_2084	N/A
group_1544	N/A
group_2326	N/A
group_2400	N/A
group_2696	N/A
group_774	N/A
group_1611	N/A
group_2510	N/A
group_1604	N/A
group_466	N/A
group_24	N/A
group_1161	N/A
group_899	N/A
group_872	N/A
group_386	N/A
group_2263	N/A
group_74	N/A
group_1315	N/A
cim	N/A
group_2310	N/A
group_3469	N/A
group_667	N/A
group_1554	N/A
group_1072	N/A
group_775	N/A
group_1258	N/A
group_1588	N/A
group_881	N/A
group_1222	N/A
group_234	N/A
group_1618	N/A
group_530	N/A
group_2280	N/A
group_159	N/A
group_2380	N/A
group_2445	N/A
group_2104	N/A
group_2024	N/A
group_1854	N/A
group_584	N/A
group_1794	N/A
group_1839	N/A
group_1815	N/A
group_1267	N/A
group_690	N/A
group_1049	N/A
group_153	N/A
group_1195	N/A
group_932	N/A
group_2370	N/A
group_204	N/A
group_2527	N/A
group_1316	N/A
group_2485	N/A
group_2668	N/A
group_2311	N/A
group_2528	N/A
group_1370	N/A
group_2432	N/A
dnaG_1	N/A
group_2614	N/A
group_2566	N/A
group_660	N/A
group_813	N/A
group_109	N/A
group_2551	N/A
group_1971	N/A
group_864	N/A
group_1305	N/A
group_1211	N/A
echA8_2	N/A
group_882	N/A
group_592	N/A
group_2885	N/A
group_2805	N/A
group_1136	N/A
group_1482	N/A
group_2058	N/A
group_113	N/A
group_2446	N/A
group_2691	N/A
group_479	N/A
group_2357	N/A
group_2652	N/A
group_1196	N/A
group_964	N/A
group_2455	N/A
group_3531	N/A
group_2038	N/A
group_1127	N/A
group_2824	N/A
group_1654	N/A
ybjJ_2	N/A
ybjJ_3	N/A
ipsA	N/A
livQ	N/A
group_224	N/A
group_41	N/A
group_3866	N/A
group_3882	N/A
group_3868	N/A
group_3867	N/A
group_3880	N/A
ydhF	N/A
group_3870	N/A
group_3885	N/A
group_3878	N/A
alkJ_3	N/A
iolI	N/A
group_3875	N/A
group_3872	N/A
group_2653	N/A
group_145	N/A
group_957	N/A
group_694	N/A
group_611	N/A
group_423	N/A
group_3915	N/A
group_3918	N/A
group_3905	N/A
group_3913	N/A
group_3907	N/A
group_3922	N/A
group_3921	N/A
group_3908	N/A
group_3906	N/A
group_3912	N/A
recD_2	N/A
group_3933	N/A
group_3936	N/A
group_3904	N/A
group_3934	N/A
group_3924	N/A
group_3895	N/A
group_3900	N/A
group_3901	N/A
group_3925	N/A
group_3898	N/A
group_3902	N/A
group_3914	N/A
group_3890	N/A
group_3919	N/A
group_3928	N/A
group_3896	N/A
group_3894	N/A
group_3891	N/A
group_661	N/A
group_387	N/A
group_2697	N/A
group_1232	N/A
group_1451	N/A
ywnA	N/A
group_3581	N/A
group_3939	N/A
group_3594	N/A
group_2870	N/A
group_3940	N/A
group_740	N/A
group_2853	N/A
group_1002	N/A
group_2272	N/A
group_1917	N/A
group_477	N/A
group_2447	N/A
group_2529	N/A
group_2242	N/A
group_2858	N/A
group_2857	N/A
group_2795	N/A
group_2410	N/A
group_2834	N/A
group_2754	N/A
group_2880	N/A
group_2732	N/A
group_2211	N/A
group_2335	N/A
group_2448	N/A
group_167	N/A
group_2809	N/A
group_2225	N/A
group_2358	N/A
group_2122	N/A
group_320	N/A
group_347	N/A
group_511	N/A
group_1264	N/A
group_567	N/A
group_1106	N/A
group_279	N/A
group_10	N/A
group_1886	N/A
group_1840	N/A
group_335	N/A
group_1567	N/A
group_1739	N/A
group_710	N/A
group_1720	N/A
group_2755	N/A
group_147	N/A
group_2411	N/A
group_200	N/A
rtpR	N/A
group_2486	N/A
group_1947	N/A
group_1545	N/A
group_1204	N/A
group_2742	N/A
group_1100	N/A
group_148	N/A
group_1809	N/A
group_1918	N/A
group_2615	N/A
group_2151	N/A
group_2456	N/A
group_2018	N/A
group_2047	N/A
group_1223	N/A
group_2350	N/A
group_2684	N/A
mdtC_1	N/A
sasA_2	N/A
group_2685	N/A
group_1050	N/A
group_281	N/A
group_1499	N/A
group_2873	N/A
group_1655	N/A
group_2371	N/A
group_1033	N/A
group_1487	N/A
group_2487	N/A
group_2511	N/A
group_2692	N/A
group_1328	N/A
group_1937	N/A
group_2203	N/A
group_1065	N/A
group_965	N/A
group_2140	N/A
group_2457	N/A
group_2606	N/A
group_2616	N/A
group_572	N/A
group_759	N/A
group_1310	N/A
group_1749	N/A
group_2707	N/A
group_1721	N/A
group_1217	N/A
group_1233	N/A
group_2401	N/A
group_2402	N/A
group_2253	N/A
group_1296	N/A
group_1762	N/A
group_2553	N/A
group_535	N/A
group_1904	N/A
dadA	N/A
group_2351	N/A
group_546	N/A
prtR_1	N/A
group_2281	N/A
group_2627	N/A
group_1162	N/A
group_2064	N/A
group_2743	N/A
group_2264	N/A
group_2433	N/A
group_2567	N/A
group_1390	N/A
group_1488	N/A
group_151	N/A
group_2458	N/A
group_235	N/A
sppA	N/A
group_1349	N/A
group_1249	N/A
group_622	N/A
group_2733	N/A
group_2212	N/A
group_1265	N/A
group_2554	N/A
group_312	N/A
group_2105	N/A
group_2372	N/A
group_126	N/A
group_344	N/A
group_612	N/A
group_1452	N/A
group_1872	N/A
group_573	N/A
group_1453	N/A
group_428	N/A
group_1546	N/A
group_2085	N/A
group_2500	N/A
group_1531	N/A
group_560	N/A
group_2459	N/A
group_2501	N/A
group_2675	N/A
group_1636	N/A
group_2296	N/A
group_2607	N/A
group_2825	N/A
group_1782	N/A
group_676	N/A
group_2422	N/A
xerC_2	N/A
group_2628	N/A
group_677	N/A
group_1377	N/A
group_97	N/A
group_1568	N/A
group_2048	N/A
group_1289	N/A
group_888	N/A
group_1240	N/A
group_2727	N/A
group_1771	N/A
group_2141	N/A
group_2469	N/A
group_1516	N/A
group_1612	N/A
group_589	N/A
group_3752	N/A
group_3968	N/A
group_3953	N/A
group_3985	N/A
group_4040	N/A
group_4023	N/A
group_3943	N/A
group_3976	N/A
group_3993	N/A
group_3946	N/A
group_4015	N/A
group_4018	N/A
group_4037	N/A
group_4045	N/A
group_3941	N/A
group_3994	N/A
group_4000	N/A
group_3958	N/A
group_3963	N/A
group_4003	N/A
group_4017	N/A
group_3961	N/A
group_4052	N/A
group_4055	N/A
group_4050	N/A
group_4024	N/A
group_4016	N/A
group_4058	N/A
group_4027	N/A
group_4002	N/A
group_3992	N/A
group_3983	N/A
group_4032	N/A
group_4007	N/A
group_4046	N/A
group_3977	N/A
group_3942	N/A
group_3965	N/A
group_3945	N/A
group_4004	N/A
group_4059	N/A
group_3970	N/A
group_4047	N/A
group_3957	N/A
group_4053	N/A
group_3952	N/A
group_4022	N/A
group_3948	N/A
group_3964	N/A
group_4057	N/A
group_3954	N/A
group_4060	N/A
group_4036	N/A
group_3981	N/A
group_3947	N/A
group_3996	N/A
group_3979	N/A
group_4025	N/A
group_3978	N/A
group_3972	N/A
group_4041	N/A
group_3988	N/A
group_4019	N/A
group_4026	N/A
group_4039	N/A
group_4011	N/A
group_3967	N/A
group_3997	N/A
group_3962	N/A
group_3966	N/A
group_4063	N/A
group_3973	N/A
group_3998	N/A
group_3984	N/A
group_4028	N/A
group_4029	N/A
group_3960	N/A
group_4033	N/A
group_4008	N/A
group_3956	N/A
group_4021	N/A
group_3980	N/A
group_3991	N/A
group_4020	N/A
group_4048	N/A
group_4030	N/A
group_4031	N/A
group_3955	N/A
group_4054	N/A
group_3989	N/A
group_4049	N/A
group_4012	N/A
group_3944	N/A
group_4056	N/A
group_3974	N/A
group_3999	N/A
group_3949	N/A
radD	N/A
group_4001	N/A
intS	N/A
group_763	N/A
group_2449	N/A
group_2341	N/A
group_1772	N/A
group_2815	N/A
group_2470	N/A
group_1661	N/A
group_2381	N/A
group_2617	N/A
group_2312	N/A
group_1432	N/A
group_2059	N/A
group_1419	N/A
group_1929	N/A
group_581	N/A
group_636	N/A
group_768	N/A
group_2156	N/A
group_2512	N/A
group_2686	N/A
group_1844	N/A
group_1750	N/A
group_2123	N/A
group_2844	N/A
group_64	N/A
group_2342	N/A
group_2226	N/A
group_2471	N/A
group_1517	N/A
group_730	N/A
group_2744	N/A
group_2593	N/A
group_2676	N/A
group_2359	N/A
group_2756	N/A
group_575	N/A
group_1855	N/A
group_2282	N/A
group_531	N/A
group_1619	N/A
group_2460	N/A
group_1569	N/A
group_144	N/A
group_2001	N/A
group_952	N/A
group_2094	N/A
group_536	N/A
group_593	N/A
group_1236	N/A
group_1521	N/A
group_2708	N/A
group_1342	N/A
group_329	N/A
group_641	N/A
group_1019	N/A
group_670	N/A
group_1163	N/A
group_1795	N/A
group_553	N/A
group_1671	N/A
group_814	N/A
group_2513	N/A
group_2639	N/A
group_1763	N/A
group_1141	N/A
group_2283	N/A
group_3536	N/A
group_3658	N/A
group_501	N/A
group_243	N/A
group_133	N/A
group_1948	N/A
group_61	N/A
group_662	N/A
group_594	N/A
group_2849	N/A
group_457	N/A
group_1224	N/A
group_2687	N/A
group_1730	N/A
group_1592	N/A
group_438	N/A
rutD_2	N/A
pikAII_1	N/A
cpnA	N/A
pmdD	N/A
yjhB	N/A
group_1038	N/A
group_2568	N/A
group_2546	N/A
group_1237	N/A
group_2709	N/A
group_2530	N/A
group_1605	N/A
group_2461	N/A
group_480	N/A
ydeP_1	N/A
group_75	N/A
group_582	N/A
spo0F	N/A
group_2688	N/A
group_2423	N/A
group_2502	N/A
group_1094	N/A
group_2488	N/A
group_1606	N/A
group_2640	N/A
group_2890	N/A
yciE	N/A
group_2254	N/A
group_2555	N/A
group_2629	N/A
group_983	N/A
group_481	N/A
group_2594	N/A
yciF	N/A
group_2618	N/A
group_1865	N/A
group_1637	N/A
group_1662	N/A
group_2273	N/A
group_2864	N/A
gph_2	N/A
yhdG_2	N/A
group_2106	N/A
group_2343	N/A
group_2142	N/A
group_1990	N/A
group_1180	N/A
group_2006	N/A
group_1796	N/A
group_2830	N/A
group_984	N/A
group_2654	N/A
group_2569	N/A
group_2850	N/A
group_1856	N/A
group_2352	N/A
group_2531	N/A
group_1020	N/A
group_2373	N/A
group_63	N/A
group_2579	N/A
group_2570	N/A
xerC_6	N/A
group_2595	N/A
group_2394	N/A
group_2630	N/A
group_2227	N/A
group_1011	N/A
group_2641	N/A
group_2823	N/A
group_2580	N/A
group_671	N/A
group_62	N/A
group_4087	N/A
group_4073	N/A
group_4069	N/A
group_4084	N/A
group_4086	N/A
group_4070	N/A
group_4079	N/A
group_4077	N/A
hin_1	N/A
group_4082	N/A
group_4091	N/A
group_4088	N/A
group_4064	N/A
group_4071	N/A
group_4078	N/A
yhhW_3	N/A
group_4081	N/A
group_4074	N/A
group_4096	N/A
group_4110	N/A
group_4113	N/A
group_4115	N/A
group_4093	N/A
group_4129	N/A
group_4101	N/A
group_4137	N/A
yhcR	N/A
group_4120	N/A
group_4124	N/A
group_4111	N/A
group_4092	N/A
nadE_3	N/A
group_4102	N/A
group_4109	N/A
group_4103	N/A
group_4117	N/A
group_4135	N/A
group_4121	N/A
group_4104	N/A
group_4105	N/A
group_4128	N/A
group_4126	N/A
group_4107	N/A
tcpE	N/A
group_4125	N/A
group_4131	N/A
group_4106	N/A
group_4118	N/A
group_4138	N/A
group_4122	N/A
group_4139	N/A
group_4108	N/A
group_4112	N/A
group_4116	N/A
group_4123	N/A
group_4094	N/A
group_4098	N/A
group_4095	N/A
group_4099	N/A
group_4187	N/A
group_4191	N/A
group_4161	N/A
group_4176	N/A
hin_2	N/A
group_4179	N/A
group_4169	N/A
group_4168	N/A
group_4156	N/A
group_4146	N/A
