Plate_no	"Well
Row"	"Well
Col"	Well	Type	Group	0	3	5	7	Slope	Percent_growth	Percent_inhibition	Bd_strain	P_value	Pond
1	B	6	B6	Unknown	CP20G1	0.164	0.631	0.909	1.04	0.128149533	72.34134224	27.65865776	JEL423		Conness Pond
1	B	7	B7	Unknown	CP20G1	0.158	0.582	0.714	0.915	0.106065421	59.87470049	40.12529951	JEL423		Conness Pond
1	F	8	F8	Unknown	CP2A	0.184	0.415	0.935	0.865	0.11135514	62.86078565	37.13921435	JEL423	0.00027487	Conness Pond
1	F	9	F9	Unknown	CP2A	0.195	0.441	0.747	0.785	0.090579439	51.13275153	48.86724847	JEL423		Conness Pond
1	F	10	F10	Unknown	CP2A	0.184	0.553	0.951	0.909	0.113579439	64.11641863	35.88358137	JEL423		Conness Pond
1	F	5	F5	Unknown	CP3F2	0.194	0.832	0.8	1.224	0.135570093	76.5303027	23.4696973	JEL423	0.001742439	Conness Pond
1	F	6	F6	Unknown	CP3F2	0.192	0.859	0.746	1.103	0.117869159	66.53799653	33.46200347	JEL423		Conness Pond
1	F	7	F7	Unknown	CP3F2	0.17	0.673	0.866	0.896	0.106626168	60.19124662	39.80875338	JEL423		Conness Pond
1	F	2	F2	Unknown	CP5A	0.177	0.816	0.67	1.049	0.111065421	62.69723682	37.30276318	JEL423	0.000195081	Conness Pond
1	F	3	F3	Unknown	CP5A	0.182	0.901	0.75	1.0497	0.111804673	63.11455013	36.88544987	JEL423		Conness Pond
1	F	4	F4	Unknown	CP5A	0.17	0.931	0.631	1.0264	0.104254206	58.85225649	41.14774351	JEL423		Conness Pond
1	E	8	E8	Unknown	CP6A	0.172	0.467	0.917	1.045	0.132607477	74.85788398	25.14211602	JEL423	0.001695279	Conness Pond
1	E	9	E9	Unknown	CP6A	0.185	0.411	0.822	1.054	0.129009346	72.82671298	27.17328702	JEL423		Conness Pond
1	E	10	E10	Unknown	CP6A	0.18	0.414	0.806	1.105	0.135074766	76.25068695	23.74931305	JEL423		Conness Pond
2	E	5	E5	Unknown	CP8C	0.168	0.549	0.76	0.927	0.109196262	61.64208305	38.35791695	JEL423	0.000187056	Conness Pond
2	E	6	E6	Unknown	CP8C	0.183	0.521	0.716	0.887	0.100962617	56.99413071	43.00586929	JEL423		Conness Pond
2	E	7	E7	Unknown	CP8C	0.16	0.689	0.816	1.0212	0.120454206	67.99727419	32.00272581	JEL423		Conness Pond
2	C	2	C2	HK	Heat killed	0.166	0.206	0.218	0.212	0.006897196	3.893517399	96.1064826	JEL423	2.73431E-06	Conness Pond
2	C	3	C3	HK	Heat killed	0.18	0.198	0.21	0.205	0.003934579	2.221098679	97.77890132	JEL423		Conness Pond
2	C	4	C4	HK	Heat killed	0.17	0.196	0.208	0.194	0.003962617	2.236925985	97.76307401	JEL423		Conness Pond
2	C	2	C2	HK	Heat killed	0.162	0.196	0.205	0.222	0.008345794	4.711261568	95.28873843	JEL423	1.94855E-06	Conness Pond
2	C	3	C3	HK	Heat killed	0.183	0.192	0.197	0.202	0.00271028	1.529972962	98.47002704	JEL423		Conness Pond
2	C	4	C4	HK	Heat killed	0.167	0.185	0.185	0.198	0.004102804	2.316062518	97.68393748	JEL423		Conness Pond
2	E	2	E2	Neg_Control	Tryptone	0.149	0.153	0.149	0.145	-0.000598131	-0.337649205	100.3376492	JEL423	2.69388E-06	Conness Pond
2	E	3	E3	Neg_Control	Tryptone	0.159	0.154	0.15	0.148	-0.001616822	-0.912708008	100.912708	JEL423		Conness Pond
2	E	4	E4	Neg_Control	Tryptone	0.153	0.151	0.145	0.142	-0.001654206	-0.933811084	100.9338111	JEL423		Conness Pond
2	E	2	E2	Neg_Control	Tryptone	0.15	0.166	0.146	0.157	0.000214953	0.121342683	99.87865732	JEL423	2.77574E-06	Conness Pond
2	E	3	E3	Neg_Control	Tryptone	0.152	0.162	0.143	0.154	-0.000457944	-0.258512673	100.2585127	JEL423		Conness Pond
2	E	4	E4	Neg_Control	Tryptone	0.159	0.167	0.148	0.158	-0.000859813	-0.485370733	100.4853707	JEL423		Conness Pond
